author,title,rating,ratings,genres,link
Стивен Кови,Семь навыков высокоэффективных людей. Мощные инструменты развития личности,4.4,3198,"Взаимоотношения, Зарубежная психология, Как достичь успеха, Как достичь цели, Лидерство, Личная эффективность, Мотивация, Практическая психология, Работа над собой, Саморазвитие / личностный рост, Самосовершенствование",https://www.litres.ru/book/stiven-kovi/7-navykov-vysokoeffektivnyh-ludey-moschnye-instrumenty-razviti-4239285/
Anne Dar,Жизнь №2,4.9,1878,"Мудрость, Остросюжетные любовные романы, Поиск себя, Поучительные истории, Самиздат, Смысл жизни, Социальная фантастика, Триллеры",https://www.litres.ru/book/anne-dar/zhizn-2-69910684/
Владимир Сорокин,Доктор Гарин,4.4,757,"Выживание человечества, Издательство Corpus, Постапокалиптика, Современная русская литература, Социальная фантастика, Философская фантастика",https://www.litres.ru/book/vladimir-sorokin/doktor-garin-64854997/
Михаил Шахназаров,История в стиле fine,4.9,18,"Житейские истории, Ироничная проза, Россия 90-х, Советская эпоха, Современная русская литература, Социальная проза, Юмористическая проза",https://www.litres.ru/book/mihail-shahnazarov/istoriya-v-stile-fine-70257058/
Катерина Ленгольд,"Agile life: Как вывести жизнь на новую орбиту, используя методы agile-планирования, нейрофизиологию и самокоучинг",4.8,222,"Мотивация, Осознанность, Привычка, Саморазвитие / личностный рост, Успех, Эффективность",https://www.litres.ru/book/katerina-lengold/agile-life-kak-vyvesti-zhizn-na-novuu-orbitu-ispolzuya-me-67288893/
Ника Ёрш,"А вот и я, дракон!",5.0,372,"Драконы, Любовная магия, Любовное фэнтези, Новый год, Только на ЛитРес, Фэнтези про драконов",https://www.litres.ru/book/nika-ersh/a-vot-i-ya-drakon-70244596/
Людмила Мартова,Стереть из памяти,4.7,288,"Авантюрные детективы, В поисках счастья, Женские детективы, Загадочные события, Иронические детективы, Расследование преступлений, Современные детективы",https://www.litres.ru/book/ludmila-martova/steret-iz-pamyati-69981625/
Татьяна Мужицкая,"Брать, давать и наслаждаться. Как оставаться в ресурсе, что бы с вами ни происходило",4.8,5085,"Гармония счастья, Искусство быть счастливым, Позитивное мышление, Практическая психология, Психологические тренинги, Психотехники, Саморазвитие / личностный рост, Скрытые возможности",https://www.litres.ru/audiobook/tatyana-muzhickaya/brat-davat-i-naslazhdatsya-kak-ostavatsya-v-resurse-cht-66159282/
Татьяна Мужицкая,"Теория невероятности. Как мечтать, чтобы сбывалось, как планировать, чтобы достигалось",4.8,1500,"Исполнение желаний, Как достичь цели, Личная эффективность, Личностные тренинги, О психологии популярно, Практическая психология, Психологические тренинги, Работа над собой, Саморазвитие / личностный рост, Самосовершенствование",https://www.litres.ru/book/tatyana-muzhickaya/teoriya-neveroyatnosti-kak-mechtat-chtoby-sbyvalos-kak-27304463/
Эдит Ева Эгер,Выбор. О свободе и внутренней силе человека,4.8,4869,"Автобиографическая проза, Бестселлеры «New York Times», Биографии и мемуары, Вторая мировая война, Зарубежная публицистика, Концлагеря, Холокост",https://www.litres.ru/audiobook/edit-eva-eger/vybor-48680546/
Николай Задорнов,Амур-батюшка,4.9,283,"Историческая литература, Крестьянство, Литература 20 века, Освоение Сибири, Проза жизни, Русская классика, Советская литература",https://www.litres.ru/audiobook/nikolay-pavlovich-zadornov/amur-batushka-67829232/
Мишель Бюсси,Ты никогда не исчезнешь,4.4,48,"Загадочное исчезновение, Зарубежные детективы, Мистические детективы, Психологические детективы, Современные детективы, Тайны прошлого, Французские детективы",https://www.litres.ru/book/mishel-bussi/ty-nikogda-ne-ischeznesh-70208587/
Милена Завойчинская,"Университет Специальных Чар. Книга 1. Пощады, маэстрина!",4.9,1070,"Любовное фэнтези, Магические миры, Попаданцы, Романтическое фэнтези",https://www.litres.ru/book/milena-zavoychinskay/universitet-specialnyh-char-kniga-1-poschady-maestrin-68821068/
Милена Завойчинская,Университет Специальных Чар. Книга 2. Большие планы маэстрины,4.9,996,"Любовное фэнтези, Магические миры, Попаданцы, Романтическое фэнтези",https://www.litres.ru/book/milena-zavoychinskay/universitet-specialnyh-char-kniga-2-bolshie-plany-mae-69510073/
Андрей Евгеньевич Первухин,Целитель,4.5,39,"Боевое фэнтези, Книги о приключениях, Попаданцы, Приключенческое фэнтези, Самиздат",https://www.litres.ru/book/andrey-pervuhin/celitel-70226506/
Марк Мэнсон,Тонкое искусство пофигизма. Парадоксальный способ жить счастливо,4.4,6869,"Бестселлеры «New York Times», Борьба со стрессом, Зарубежная психология, Поиск предназначения, Саморазвитие / личностный рост, Самореализация, Самосовершенствование, Социальная психология",https://www.litres.ru/audiobook/mark-menson/tonkoe-iskusstvo-pofigizma-paradoksalnyy-sposob-zhit-schastliv-34338895/
Виктор Франкл,Сказать жизни «Да!»: психолог в концлагере,4.7,6837,"Автобиографическая проза, Биографии и мемуары, Зарубежная публицистика, Концлагеря, Смысл жизни, Философская проза",https://www.litres.ru/book/viktor-frankl/skazat-zhizni-da-psiholog-v-konclagere-147113/
Алекс Д,Нам нельзя,5.0,494,"Любовные испытания, Остросюжетные любовные романы, Рождественские истории, Романтическая эротика, Современные любовные романы, Страстная любовь, Только на ЛитРес, Эротические романы",https://www.litres.ru/book/aleks-d-17618839/nam-nelzya-70067344/
Эрин Мейер,"Карта культурных различий. Как люди думают, руководят и добиваются целей в международной среде",4.8,170,"Взаимодействие культур, Деловой этикет, Зарубежная деловая литература, Культура и этика делового общения, Межкультурная коммуникация, Практические рекомендации, Руководства",https://www.litres.ru/audiobook/erin-meyer-17553327/karta-kulturnyh-razlichiy-kak-ludi-dumaut-rukovodyat-i-39340617/
Патрик Кинг,"Как контролировать эмоции. Обретите равновесие, устойчивость, спокойствие, свободу от стресса, тревожности и негатива",4.7,99,"Борьба со стрессом, Душевное равновесие, Зарубежная психология, О психологии популярно, Позитивный настрой, Практическая психология, Психическое здоровье, Саморазвитие / личностный рост, Эмоции",https://www.litres.ru/audiobook/patrik-king/kak-kontrolirovat-emocii-obretite-ravnovesie-ustoychivost-spok-67006228/
Евгений Севастьянов,Системное управление на практике. 50 историй из опыта руководителей для развития управленческих навыков,4.8,166,"Кейсы, Лидерство, Личная эффективность, Менеджмент организации, Организационный менеджмент, Психология в бизнесе, Российская практика, Руководителям организаций и предприятий, Управление бизнесом, Управление персоналом, Эффективное руководство",https://www.litres.ru/book/evgeniy-sevastyanov/sistemnoe-upravlenie-na-praktike-50-istoriy-iz-opyta-r-64466007/
Майк Омер,Внутри убийцы,4.7,19899,"Бестселлеры «New York Times», Жестокое убийство, Зарубежные детективы, Полицейские детективы, Психологические триллеры, Серийные убийцы, Смертельная опасность, Современные детективы, Триллеры",https://www.litres.ru/book/mayk-omer/vnutri-ubiycy-47453330/
